Ecclesiastes_3_1_7000_12347.wav|nyungc nyungc maaih dingc nyei cun ciou
Ecclesiastes_3_2_12360_17342.wav|yiem lungh ndiev maanc sic maaih dingc nyei ziangh hoc
Ecclesiastes_3_3_17360_20059.wav|maaih ziangh hoc cuotv seix
Ecclesiastes_3_4_20080_22817.wav|maaih ziangh hoc guei seix
Ecclesiastes_3_5_22840_25454.wav|maaih ziangh hoc zuangx
Ecclesiastes_3_6_25480_28571.wav|maaih ziangh hoc baeng cuotv
Ecclesiastes_3_7_28600_31408.wav|maaih ziangh hoc daix
Ecclesiastes_3_8_31440_34005.wav|maaih ziangh hoc zorc longx
Ecclesiastes_3_9_34040_36563.wav|maaih ziangh hoc caeqv
Ecclesiastes_3_10_36600_39720.wav|maaih ziangh hoc ceix jiez
Ecclesiastes_3_11_39760_42197.wav|maaih ziangh hoc nyiemv
Ecclesiastes_3_12_42240_45154.wav|maaih ziangh hoc jatv
Ecclesiastes_3_13_45200_47552.wav|maaih ziangh hoc nzauh nyiemv
Ecclesiastes_3_14_47600_51028.wav|maaih ziangh hoc cangx heix
Ecclesiastes_3_15_51080_54465.wav|maaih ziangh hoc zoi la bieiv guangc
Ecclesiastes_3_16_54520_57502.wav|maaih ziangh hoc nzauz zunv
Ecclesiastes_3_17_57560_60379.wav|maaih ziangh hoc qam
Ecclesiastes_3_18_60440_63496.wav|maaih ziangh hoc maiv qam
Ecclesiastes_3_19_63560_66053.wav|maaih ziangh hoc lorz
Ecclesiastes_3_20_66120_69170.wav|maaih ziangh hoc muoqv dingx laaih
Ecclesiastes_3_21_69240_72007.wav|maaih ziangh hoc siou
Ecclesiastes_3_22_72080_74365.wav|maaih ziangh hoc guangc
Ecclesiastes_3_23_74440_77042.wav|maaih ziangh hoc betv
Ecclesiastes_3_24_77120_79840.wav|maaih ziangh hoc lunh
Ecclesiastes_3_25_79920_82597.wav|maaih ziangh hoc sekv
Ecclesiastes_3_26_82680_86033.wav|maaih ziangh hoc gorngv waac
Ecclesiastes_3_27_86120_88911.wav|maaih ziangh hoc hnamv
Ecclesiastes_3_28_89000_91668.wav|maaih ziangh hoc nzorng
Ecclesiastes_3_29_91760_95224.wav|maaih ziangh hoc mborqv domh jaax
Ecclesiastes_3_30_95320_98461.wav|maaih ziangh hoc taaix baengh
Ecclesiastes_3_70_280360_287911.wav|weic naaiv yie buatc maiv maaih yietc nyungc gauh longx jiex baamh mienh a hneiv ninh zoux nyei buonc gong
Ecclesiastes_3_71_288200_291388.wav|weic zuqc benx ninh ganh nyei buonc
Ecclesiastes_3_72_291680_296023.wav|haaix dauh haih dorh ninh zieqv duqv ninh guei seix liuz
Ecclesiastes_3_73_296320_298860.wav|oix maaih haaix nyungc sic cuotv daaih
