Daniel_4_1_9000_13080.wav|yie ne mbu katv netv saa hungh
Daniel_4_2_13080_18360.wav|zunh mbuox lungh ndiev nyei maanc guoqv maanc fingx caux maanc nyungc waac nyei mienh
Daniel_4_3_18360_23040.wav|tov bun meih mbuo duqv domh baengh orn
Daniel_4_4_23040_31920.wav|yie a hneiv gorngv yiem hlang jiex nyei tin hungh weic yie zoux jangx hoc caux mbuoqc horngh nyei sic zunh mbuox meih mbuo
Daniel_4_5_31920_35280.wav|ninh nyei jangx hoc ndongc haaix hlo
Daniel_4_6_35280_39040.wav|ninh mbuoqc horngh nyei sic ndongc haaix henv
Daniel_4_7_39040_42520.wav|ninh nyei guoqv se yietc liuz nyei guoqv
Daniel_4_8_42520_46760.wav|ninh duqv gunv taux maanc gouv maanc doic
Daniel_4_9_46760_49760.wav|yie ne mbu katv netv saa
Daniel_4_10_49760_55160.wav|yiem yie ganh nyei hungh dinc gu nyuoz haiz kuh yiem
Daniel_4_11_55160_57960.wav|bungx zuoqc nyei
Daniel_4_12_57960_62960.wav|yie mbeix norm mbeix bun yie gamh nziex
Daniel_4_13_62960_66000.wav|yie bueix jienv yie nyei coux wuov zanc
Daniel_4_14_66000_72560.wav|yiem hnyouv hnamv cuotv yaac buatc laauc yaangh nyei sic haeqv yie gamh nziex haic
Daniel_4_15_72560_81040.wav|yie ziouc heuc mbaa mbi lon saengv nyei yietc zungv guai qaauv mienh daaih yie naaiv weic tengx yie porv mbeix
Daniel_4_16_81040_83920.wav|zoux huaax nyinz
Daniel_4_17_83920_85600.wav|zoux faatv
Daniel_4_18_85600_90560.wav|samx hleix nyei mienh caux gaanv hei mienh ziouc daaih zunv
Daniel_4_19_90560_96800.wav|yie gorngv mbeix bun ninh mbuo muangx mv baac ninh mbuo maiv haih tengx yie porv mbeix
Daniel_4_20_96800_101120.wav|nqa haav laai ndaa ni en daaih yiem yie nyei nza hmien
Daniel_4_21_101120_104160.wav|yie yaac gorngv mbeix bun ninh muangx
Daniel_4_22_104160_108840.wav|ninh aengx maaih norm mbuox heuc mben te satv saa
Daniel_4_23_108840_112680.wav|se gan yie nyei zienh nyei mbuox
Daniel_4_24_112680_119320.wav|weic zuqc ninh maaih singx zienh bun daaih nyei cong mengh yiem ninh gu nyuoz
Daniel_4_25_119320_122960.wav|o huaax nyinz mienh nyei bieiv
Daniel_4_26_122960_126200.wav|mben te satv saa aac
